resposta,nota
iniciação base positivismo todo método científico passar tempo crescendo psicologia faz uso pesquisas tanto qualitativas quanto quantitativas obter conhecimento aprofundado específico sobre determinado contexto respeito comportamentos ações tanto individuais quanto coletivas usando conhecimentos acerca determinada pesquisa gerando assim resultados científicos,4
cientificidade psicologia posta sob diversas perspectivas após postulados kank psicologia surgiu proposta claramente positivista contudo surgimento demandas subjetivas surgiu fenomenologia quebrou todos postulados kantianos partir então surgindo várias abordagens objetos estudos distintos,3
psicologia ciência social busca mudança através pesquisas algumas áreas adota ciências naturais exemplo área psicologia behaviorismo,5
psicologia procura critério cientificidade meio abordagens múltiplas sendo própria possui abordagens entram paradigmas diferentes,6
psicologia utiliza simples proposições acerca subjetividade tão pouco atenta apenas comportamentos observaveis psicologia abrange conjunto métodos crenças provindas paradigma relativista especial póspositivismo construcionismo social oferecem psicologia meios estudar objeto principal humano,7
caracterizase ciência naturais sociais sendo psicologia existe abordagens múltiplas ciência natural outras ciências sociais assim podese confirmar psicologia ciência porém ciências sociais buscam critérios adequados cientificidade,7
psicologia pode dividida ciências biológicas sociais parte biológica relacionada área experimental onde pode observar testar objeto questão remetendo pesquisa quantitativa parte social experimental lembrando pesquisa qualitativa apesar tudo torna psicologia ciência ambas áreas sempre replicando teorias buscando novas,7
cientificidade psicologia dá tanto ciência biológicasnaturais quanto ciências sociais sendo primeira busca objetiva prever controlar comportamento humano através experimentos caso análise comportamento exemplo segunda ciências sociais buscando critérios cientificidade tentar resolver temas complexos permitindo participação abordagens múltiplas,8
psicologia científica pois utiliza vários métodos busca critérios adequados cientificidade meio abordagens múltiplas psicologia duas linhas social biológica primeira geralmente realiza pesquisas qualitativas última geralmente utiliza pesquisas quantitativas precisase fique claro pode haver estudo social utilizando pesquisa quantitativa estudo biológico partir pesquisa qualitativa,8
psicologia duas áreas ciência biológica refere pesquisas quantitativas ciência social refere pesquisas qualitativas fato psicologia fazer pesquisa torna ciência,6
psicologia possui parte social parte qualitativa busca critérios cientificidade meio abordagens múltiplas parte biológica quantitativa procura métodos específicos cientificidade,6
psicologia ciência busca critérios adequados cientificidade abordagens múltiplas,5
apesar psicologia estar busca critérios adequados cientificidade através abordagens múltiplas tida científica causa desenvolvimento pesquisas utilizando metodologias alcançam resultados passíveis replicação,6
psicologia sim ciência estando busca critérios adequados cientificidade através abordagens múltiplas assim ciências sociais assim podemos destacar psicologia linha social utiliza pesquisa qualitativa linha social utiliza pesquisa quantitativa sendo ambas consideradas ciência utilizando métodos diferentes porém ambos científicos,6
psicologia pode considerada ciência pois âmbito biológico produz pesquisas através critérios tradicionais envolvem previsão controle permitindo assim replicabilidade âmbito social continua busca critérios cientificidade através abordagens múltiplas,7
atualmente definição consensual ciência apesar visão positivista elitista mesma persistir psicologia ciência social característica multiparadigmática multimetodológica rompendo visão rígida ciência pesquisa experimental sendo predominantemente qualitativa grandes influências relativismo,7
cientificidade psicologia decorrente multideterminação método forma validação teoria,5
cientificidade psicologia pode justificada fazer uso duas vertentes biológica social biológica fazendo uso quantitativo social usando qualitativo psicologia procura formas diferentes comprovar cientificidade acordo diferentes abordagens,6
ciências sociais ciências porém ainda encontram busca métodos adequados cientificidade assim cientificidade psicologia justificada busca utilizando diferentes abordagens,6
cientificidade psicologia decorre uso diversos métodos abordagens múltiplas auxiliam desenvolvimento pesquisas várias áreas utilizandose diversas técnicas entrevistas estudados caso questionários etc além disso psicologia possui linha social trabalha qualitativa linha biológica segue aspectos ciências naturais quantitativo dessa forma psicologia sempre buscando mudanças através utilização abordagens diversas,6
cientificidade psicologia justificada fato estar sempre buscando aprimorando conhecimentos algumas áreas psicologia voltada experimentação observação ligadacom meio social divide ciências sociais ciências biológicas,5
poder realizar pesquisasna busca cientificidadeatravés pluralismo metodológico controle repetição,4
cientificidade psicologia dá póspositivismo abordagem comportamental demais varia dividindo curso ciências naturaiscomportamental cog comportamental ciências humanas demais abordagens cientificidade vem controle externo interno bem replicação comportamentos uso vários métodos paradigmas psicologia faz ciência,5
podemos dizer cientificidade psicologia formada 2 ciências 1 ciência sociais pesquisas quantitativa busca logica matemática regras observações temas 2 ciência natural qualitativa pesquisa poucos sujeitos aprofundada ampla aberta todas 2 ciências forma diferentes usadas psicologia,3
psicologia baseiase questões biológicas qualitativa questões sociais pesquisa quantitativa pautandose múltiplas abordagens teorias,3
psicologia ciência pois além descrever fenômenos explica porquê acontecerem assim ciências naturais além disso objetivo geral interpretação ciências sociais explicação ciências naturais psicologia apresenta pesquisa qualitativa quantitativa sendo quantitativa nasce qualitativa,6
cientificidade psicologia adoção paradigmas científicos advindos queda paradigma positivista orientam pesquisas realizadas desde ciência adotou posições relativistas adotadas pesquisas psicologia,5
cientificidade psicologia possibilidade generalização ainda estatística pode atingida meio estabelecimento critérios metodológicos fixados cientificidade meio abordagens múltiplas,5
ainda consenso quanto método paradigma psicologia concretiza ciência constante busca cientificidade intermédio abordagens múltiplas,5
psicologia ciência pois objetivos métodos definidos alem interpretar explicar fenômenos estudados,3
busca cientificidade psicologia vem sendo construida tempo muitas criticas feitas psicologia objeto estudo especifico porém psicologia sim rigor cientifico diversas teorias longo tempo vem mostrando apesar criticas ainda serem fortes,2
ciência ainda bisca definição consensual cientificidade entanto psicologia pluralidade epistemológica metodológica cientifica,3
cientificidade psicologia justificase tratar área segmento biológico influência póspositivista emprega procedimentos quantitativos análise comportamento segmento social caracterizado múltiplas abordagens ainda buscando definir critérios cientificidade qualitativo,5
psicologia busca critérios adequados cientificidade meio abordagens múltiplas,3
psicologia considerada ciência pois lado estudos sociais base ciências sociais métodos variados busca cientificidade consenso psicologia considerada ciência possuir além social lado biológico behaviorismo metodologias bem específicas lembrando póspositivismo,7
psicologia considerada ciência vez lida homem utilizandose observação registro instrumentos teorias construídas chegar conclusão além contribui sociedade,2
psicologia considerada científica primeiramente fato existe definição consensual ciência além mesma possuir diferentes linhas procuram acurar investigação tais linhas podem social abrange clínica biológicas quantitativas póspositivistas,6
psicologia ainda caminha busca critérios adequados atualmente divide 2 correntes ciência natural tradicional baseia física química biologia quantitativa ciência social adéqua área qualitativa porém cada vez comum pesquisadores fazerem uso ambas técnicas,6
ciências lira testavel busca métodos cientificamente assim utilizando teorias autores cujas críticas prever testar avançar prática através observações cientificamente avaliadas testadas,2
psicologia sempre encaixando moldes ciências naturais desenvolve alguns parâmetros rigorosidade reconhecida ciência exemplo desenvolvida linguagem evite ambiguidade pode generalizada muitos casos etc,4
mostrada fala linhas estudo psicologia tanto social quanto biológica cientificidade pode caracterizada estudos psicologia pode tratada ciência além estudar linha social linha biológica separadamente podem entendidas misturam,3
psicologia considerada ciência pois contém discurso científico claro preciso objeto estudo método investigação técnica linhas teóricas produzindo assim saber novas técnicas investigações científicas pesquisas qualitativas quantitativas,5
psicologia ciencia pois nela estudo bases teoricas experimetos tipo cinecia,3
formulação hipóteses pesquisas qualitativas quantitativas,0
texto afirma cientificidade psicologia existe porém sendo construída poucos longo tempo podese afirmar portanto cientificidade psicologia grande parte qualitativa pesquisas podendo quantificada quantitativa,5
termos psicologia cientifíca envolve falta definição consensual ciência multiplas realidades acerca fenomeno método ciências sociais métodos qualitativos podem obter dados,4
psicologia usa pesquisa qualitativa cientificidade objetos estudo podendo utilizado múltiplos meios conseguir,4
psicologia pode sim considerada ciência pois além fato ciência possui definição específica consenso sobre mesma relação conceito fato psicologia desenvolve pesquisas trabalhos contribuições diversas áreas saber,4
psicologia ciência ciência consensual autores psicologia além linha social linha biológica vista ciência buscando sempre validada,5
psicologia ciência complicada entanto mesma busca atraves métodos qualitativos quantitativos comprovar teorias através métodos diferentes,4
psicologia ramo ciências sociais status ciência apesar método diferente outros tipos ciência ainda assim possui critérios definem dessa forma pesquisa qualitativa auxilia pesquisas psicologia,3
psicologia social exemplo ainda vive busca comprovação objeto muitas vezes visual lidar subjetividade busca cientificidade,3
psicologia ciência pois método embasamento teórico cria comprova teorias utilizando embasamento teórico,2
pesquisa qualitativa específica certos contextos populações contribuição entendimento aprofundando busca podendo gerar novos paradigmas levando conta ciência certeza existe única verdade,3
contribuições pesquisa qualitativa cientificidade diversas áreas vastas dentre contribui pesquisas possam replicado utilizando mesmos instrumentos coleta analise dados existe sistematizado pode utilizada qualquer contexto pode analisada replicada contextualizada contestada reinterpretada diferentes contextos diferentes atores,4
pesquisa qualitativa trouxe contribuições cientificidade psicologia pois trouxe confiabilidade,1
contribuições considerase visão holística investigação naturalística abordagem indutiva ressaltando relevância interpretação,4
contribuições pesquisa ampla flexível subjetiva análise percepções comportamentos determinado grupo comunidade situações vão além estruturas rígidas,3
psicologia ciências sociais ciência busca metodologia multiplicidade abordagens valido afirmar ciência possuiu consenso existem diversas formas fazer ciência,4
pesquisa qualitativa exploratória exige dedicação tempo contribui principalmente linha social psicologia ciência pois possibilita comparação conhecimentos talvez possíveis apenas modelo quantitativo,6
pesquisa qualitativa contribui método cientifico exploratório subjetivo pode usado conjunto outras técnicas avaliando estados emocionais outros aspectos,4
alguns critérios credibilidade levam cientificidade psicologia pesquisa qualitativa sendo uso triangulação contato prolongado campo diminui influências possíveis pesquisador questionamento pares interpretação dados auxílio colegas pesquisadores checagem sujeitos dessas interpretações,7
analise amplamente descritiva rica detalhes visão holística objetivo controlar prever resultados sim entender compreender fenômenos,5
ciência social busca forma atuação adequada desenvolve cada vez pesquisa qualitativa possibilita verificação hipóteses contextos contribuindo descrição prática científica obter conhecimento,4
contribuições pesquisa qualitativa cientificidade psicologia relacionado diretamente multiplicidade métodos contribui sentido psicologia conter parte qualitativa pode válida podendo utilizar métodos construcionismo social exemplo,5
pesquisa qualitativa contribuiu cientificidade pois através possível ida campo podendo coletar observar dados possíveis pesquisa quantitativa,3
pesquisa qualitativa contribui cientificidade psicologia outras ciências pois traz consigo riqueza informações noção democrática próxima realidade relativismo múltiplas verdades psicologia principalmente precisa compreender humano fundo terapeuta utiliza si ferramenta cura paciente,6
contribuições pesquisa qualitativa pesquisa coloca prática varias teorias psicologia sempre busca novas teorias estagnada achando apenas teoria verdadeira,2
auxilia clareza dados menos tempo preparo organização pesquisa permite entrevistador agilidade resolução pesquisa,1
contribuição pesquisa qualitativa fundamental psicologa relação coleta dados formato segue pesquisa,1
ainda dividida psicologia social psicologia biológica ambas sigam caminhos distintos termos metodologia epistemologia etc podemos sim falar psicologia ciência vez produção científica dá meio senso comum falta consenso sobre ciência impede andamento pesquisas formulação teorias,7
psicologia afirma ciência teorizar fatos ciências humanas principalmente importante psicologia geral experimental vertente base behaviorista utiliza métodos científicos tradicionais quantitativos experimentais,4
cientificidade osicologia apenas abordagens base filosófica póspositivista considera vários paradigmas adota todos verdade abordagem certa errada científica,1
psicologia ciência embora consenso sempre busca melhorias crescimento podese perceber presença experimentação pesquisas estudo ciências sociais biologia etc,3
psicologia utilizase ciência abranger campo estudos através pesquisa qualitativa exemplo psicólogo todas técnicas utilizadas favor fazer bom trabalho campo,2
psicologia científica enquanto pesquisa social ainda busca critérios cientificidade base múltiplas abordagens enquanto pesquisa experimental utiliza métodos baseados ciências naturais póspositivistas,9
ciência ajuda psicologia comprovar hipóteses verdadeiras passandose hipóteses verdadeira ciência,2
cientificidade psicologia dá pesquisas qualitativas quantitativas testes hipóteses pesquisas quantitativas postulações científicas entrevistas pesquisa extensiva qualitativa,5
cientificidade psicologia dá escolha abordagem possui aspectos rigorosos interpretação observação dados algumas abordagens critérios implicam dados quantitativos outras interpretativos todas possuem sistematização concepção mundo homem,5
ciências psicológicas propostas filosóficas base positivista quanto dialética marxista psicologia tradicionais apoia pesquisas quantitativas dinâmicas qualitativas,4
existe consenso podemos dizer sim psicologia ciência busca cientificidade meio abordagens múltiplas destacam 2 formas social base pesquisa qualitativa outra experimental base pesquisa quantitativa,8
formulação hipótese testar hipóteses postular resultado analise dados,2
linha social pesquisa qualitativa linha biológica pesquisa quantitativa primeira busca cientificidade meio abordagens múltiplas outra reducionista segue critérios tradicionais ciências naturais póspositivismo,9
psicologia cientifica devido estudos sociais métodos naturalistas observacionais análise mesmos assim ciência pode usada prever estudar comportamentos forma individual socialmente,5
cientificidade psicologia consensual contudo partir estudos paradigmas possível concluir psicologia ciência relativista subjetiva metodologia quantitativa qualitativa,5
levantou algumas questões fato pensar subjetividade assim provocou queda paradigma debates levantados pois surgiram dúvidas respeito confiança ciência positivismo,1
psicologia ciência busca metodologia científica critérios científicos meio várias abordagens,5
psicologia usa múltiplas abordagens técnicas onde linha social caracterizada pesquisas qualitativas linha objetiva pesquisas qualitativas,6
faz uso teorias sociais biológicas dependendo pesquisa usase tanto quali quanti pois algumas pesquisas faz uso métodos experimentais outros subjetivas,2
psicologia segue linha social busca critérios adequados cientificidade meio abordagens multiplas,5
psicologia ciência procura critérios cientificidade diante multiplicidades teorias,3
cientificidade psicologia basea pesquisas tanto quantitativas quanto qualitativas visão holística analises obvio acordo objetivo pesquisa dados complexos serem analisados maior ligação pesquisador trabalho,2
psicologia tanto pesquisa quantitativa pesquisa qualitativa científicas pesquisa qualitativa trabalha dados abertos subjetivos enquanto pesquisa quantitativa trabalha objetivo estruturado testando teorias explorando,6
cientificidade psicologia ligada pesquisas quantitativas pois pesquisa vai formar teoria vai confirmarla dados empíricos,1
psicologia vista ciência pois apenas possível fazer experiencias chegar conclusões considerado ciência apos unir áreas sociais psicologia passou influencia considerada ciência,3
psicologia ciência social busca critérios adequados através abordagens múltiplas uso pesquisa qualitativas provar cientificidade,3
ciência termo definição concreta pode subjetiva experimental behaviorismo radical sofreu impactos paradigmas qualitativos póspositivismo nova filosofia ciência,3
existe cientificidade tanto metodologia quantitativa qualitativa pesquisas metodologia quanti temse levantamento dados objetivos experimentais testáveis relação causa efeito pesquisa quali subjetiva obj,5
cientificidade psicologia estende espectro quali quanti enfrentando diversos problemas devido características subjetivas difícil alcançar dados trabalha sempre havendo espaço discussão quanto limi,3
psicologia toda ciência social enfrente dificuldades afirmar ciência tratar elementos observáveis wundt contribuiu mudança cenário fundou laboratório alemanha hoje dia ainda consenso,7
cientificidade psicologia diversos fatores dois linhaciência social linhaciência biológica ciência social linha qualitativa ciência biológica linha quantitativa,4
cientificidade tanto forma quanti forma quali múltiplas camadas forma quanti regida aspectos validade interna validade externa fidedignidade forma quali naturalística analisa dados complexos dados aberto,9
psicologia ciência onde busca sempre melhorias crescimento além notável busca teorias experimentos estudos área ciências sociais biologia outros,2
psicologia assim outras áreas estudo ciências sociais sofreu buscar demonstrar cientificidade possui tanto pesquisas estudos quantitativos uso várias experiências manipulação sujeitos principalmente,6
independente abordagem psi quanti quali científicas primeira observa apenas variáveis avalia interno externo fidedignidade quali complexa registros abertos busca cientificidade checase participantes,6
psicologia cientificidade questionada tanto quanto outras ciências sociais objeto complexo exigindo abordagem reducionista diferentes paradigmas utilizados psicologia conforme orientação pesquisador co,5
cientificidade psicologia demonstrada partir formação processos explorado onde mesma pega formação individuo meio social onde socialização ocorre forma garante ligação ciência individuo social,1
cientificidade psicologia sofreu ataques séc xx provar empiricamente estudos resultados behaviorismo cresceu serviu modelo toda psicologia anos 5060 após acontecimentos pesquisa qualit,7
resposta,0
surgimento críticas relativistas ciência sociais tais psicologia poderia considerada ciência pois atendia critérios positivismo entanto após críticas popper kuhn escola frankfurt edimburg relati,8
tanto parte qualitativa quanto parte quantitativa psicologia cientificas parte quantitativa analise reducionista variáveis confiabilidade externa interna fidedignidade parte qualitativa busca critérios científic,10
elaboração pesquisa resultadoscoletas dadosobter certeza comprovação fatos,2
apesar psicologia considerada área conhecimento recente comparada medicina considerada ciência dividese análises quantitativas qualitativas análise quantitativa método hipotéticodedutivo testa dados área qu,6
sendo abrangente tanto modo quantitativo qualitativo científicos primeiro medindo variáveis validades internas externas qualitativa sentidos ações bem complexas,6
escola frankfurt base marxista abriuse cientificidade ciências sociais parâmetro qualitativo subjetivo deixase acreditar plenamente apenas objetividade factual meio pesquisas quantiquali estudase generalização,4
possui critérios validade interna externa fidedignidade tanto parte qualitativa quanto quantitativa científicas possui objetos complexos critérios cientificidade triangulação checagem participantes análises hipóteses casos,7
psicologia cientifica pois baseia pesquisas quali quanti ambas afim investigar hipóteses contexto humano histórico cultural fim comprovar hipóteses facilitar entendimento conhecimento psicologia,6
cientificidade psicologia algo ainda tempos atuais bastante condenado partir disso muitos psicólogos lutaram trazer psicologia ciência através pesquisas observacionais construtivismo social pós positivismo,6
iniciase positivismo feito crítica método limita práticas pesquisas preciso pesquisa método empírico chegar resultado hipótese testagem considerar outras ciências saberes identificar cabe,2
psicologia nasceu wundt alemanhã laboratório experimental grande questão cientificidade psicologia objeto estudo psique fato grandes nomes psicologia freud skinner basearam teorias prátic,4
apesar crítica paradigma dominante ciências humanas poderiam consideradas ciências psicologia ir além aspectos quanti usar olhar quali diante objeto estudo humano complexidade exige,7
psicologia baseada série teorias terem valor científico devem testadas embasadas utilizase pesquisas quantitativas qualitativas primeira pragmática numérica frequência estatística etc segu,6
psicologia considerada ciência pois utiliza métodos científicos aceitos comunidade científica compreender ações mente sujeitos,2
tanto pesquisa qualitativa quanto quantitativa utilizados psicologia mostra cientificidade parte qualitativa exige cientificidade clareza dados quantitativa testagem teorias muitos dados,3
cientificidade psicologia pode qualitativa quantitativa,2
relação cientificidade psicologia tanto quantitativa quanto qualitativa científicas quantitativa foca variáveis sendo objetiva biológica enquanto qualitativa abrange assuntos complexos sendo subjetiva soci,6
dividida duas partes qualitativa outra quantitativa ambas ciências qualitativa forma livre permite mudanças quantitativa metódica reducionista preocupada controlar prever generalização induç,6
ciências sociais assim psicologia considerados ciências contudo buscam constantemente cientificidade múltiplas abordagens,3
pesquisa considerada ciência ciência consensual autores psicologia além linha social linha biológica vista ciência buscando sempre validada,3
psicologia usa métodos cientificos analisar provar teorias modelo utilizado behaviorismo radical,3
psicologia pode deve estudada ciência pois utiliza métodos científicos requisitos especificidades exigências rigorosas coleta dados momento relacionar resultados hipóteses evitando inferê,3
psicologia vem tornando cada vez ciência base pesquisas quanti quali completamse si prova números embasamentos teóricos assuntos apresentados dentro psicologia psicologia ciência,4
abrangência quantitativa parte reducionista observação variáveis validade externa fidedignidade abrangência qualitativa abordagem ampla participantes vontade abordagem elevada,4
quanto cientificidade psociologia existe face quantitativa preocupa testar teorias usar métodos objetivos viés experimental face qualitativa busca subjetividade amplitude dados abertos,6
cientificidade psicologia iniciou acreditando somente estudo realizado laboratórios comportamentos observáveis poderia chamado científico porém teoria crítica construtivismo social perceberam pesq,4
psicologia pode tanto quantitativa quanto qualitativa parte quanti diz respeito lado biológico exato mensurável qualitativa lado psicologia social subjetividade sujeito,3
psicologia busca cientificidade tanto pesquisas quantitativas quanto qualitativas primeira busca critérios tradicionais buscando validade interna esterna verificação visão reducionista qualitativa busca através dados abertos,9
respondida,0
apesar grande abrangência tanto parte quantitativa quanto qualitativa cientificas primeira reducionista observar apenas variáveis segue critérios tradicionais validade interna validade externa fidedignidade qualitativa d,7
psicologia científica tanto analisada paradigma quantitativo quanto qualitativo paradigma quantitativo cientificidade psicologia reducionismo analisar controlar prever apenas variáveis bem buscar veracidade,6
cientificidade ocorre diante diferentes abordagens sistemáticas presentes distintos métodos técnicas formas trabalhar ver fenômeno ressaltando ciência ocorre discussão várias ideias,2
cientificidade psicologia ligada estudo comportamento partir bases teóricas explicam diferentes formas através observação interligando fatores biosocioculturais desenvolvimento vivência indivíduo,4
