resposta,nota
a cientificidade da psicologia pode ser justificada pelas transformações ocorridas em relação às ciências e suas consequências na comunidade científica o esgotamento do positivismo e o surgimento de novos paradigmas na tentativa de justificar e corrigir as lacunas de seus antecedentes fizeram da cientificidade da psicologia o que ela é atualmente,2
a cientificidade da psicologia se apoia em critérios como tempo de permanência em campopossibilidade de generalização naturalística dialogo teorico e metodológico entre pesquisadores,4
a cientificidade da psicologia se divide em ciência natural e social a ciência primeiramente foi explicada pelo positivismo o qual considerava o método científico o aspecto mais importante além de priorizar a indução e a observação afirmava também que a ciência é cumulativa e sofre de uma generalização naturalística o positivismo foi vigente até kuhn dar início ao relativismo com a criação da tese da incomensurabilidade,3
a cientificidade da psicologia se iniciou com o positivismo e a observação a necessidade de se ter dados  claros confiáveis  mesurados ,1
a cientificidade da psicologia tem uma linha social onde é usuária de pesquisa qualitativa e uma linha biológica onde é usuária de pesquisa quantitativa não quer dizer que é uma repartição podendo usar métodos mistos,6
a cientificidade da psicologia vem através de pesquisas suposições dai surge os paradigmas mas para a concretização de uma verdade para o determinado momento na sociedade como no positivismo há o estudo de uma teoria também no póspositivismo que é base dele porém também há um outro modo no construtivismo social que parte da suposição dentro da própria sociedade ,5
a cientificidade na psicologia é dividida em duas linhas a linha social e a linha biológica a psicologia é uma área onde se realiza muitas pesquisas principalmente na linha social onde se é utilizada a pesquisa qualitativa,3
a pluralidade metodológica define a psicologia atual como ciência podendo usar tanto pesquisas quantitativas quanto qualitativas e idealmente combinando as duas formas a psicologia ainda conta com a rigidez experimental herdada das ciências naturais que a ajuda a poder ser validada como ciência,6
a psicologia é ciência pois apresenta características como tal rigor e uso coerente de métodos e procedimentos metodológicos uma parte é caracterizada por fazer estudos qualitativos social e a outra parte estudos quantitativos,4
a psicologia é considerada ciência dentro de duas linhas científicas a biológica e a socialhumana pois alguns a consideram mais biológica por envolver a área da saúde enquanto os cientistas sociais a consideram mais humanizada por lidar com o ser humano,3
a psicologia é considerada uma ciência social com múltiplas abordagens que ainda não optou por somente um paradigma correto  ,2
a psicologia é entendida como ciência a partir do momento em que se estuda assuntos vindos de demanda social e passa a explicálos eou desvendálos existem dois ramos biológica e social em que a primeira remetese as ciências quantitativas enquanto a última mais qualitativa,6
a psicologia é uma ciência a partir do momento em que usa diversos métodos para chegar a teorias e leis vista observação hipóteses comprovações refutabilidades é uma ciência em constante mudança,4
a psicologia é uma ciência científica pois ela faz um equilíbrio entre a objetividade e a subjetividade é uma ciência neutra e que há teorias e também importância na sociedadeindivíduo ,1
a psicologia é uma ciência diferente das ciências naturais onde busca previsão e controle o objeto de estudo da psicologia é o homem que é inserido em uma sociedade que está sempre mudando e consequentemente suas teorias não existe somente um método cientifico para a verdade como o positivismo impregnou com suas ideias de rigor e neutralidade a ciências é uma construção coletiva a verdade não é absoluta    ,6
a psicologia é uma ciência que possui estudos mais voltados ao biológico como o behaviorismo radical utilizando pesquisas mais quantitativas ou qualiquanti e também possuem abordagens sociais com pesquisas qualitativas,3
a psicologia é uma ciência mesmo que exista varias abordagens em psicologia e não exista um paradigma comum à todas é uma ciência devido todo seu corpo teórico que vem sendo desenvolvido desde o seu início e porque ela tem uma tradição crítica comunidade científica que julga e que fazem críticas aos trabalhos realizados e por causa dos resultados apresentados,4
a psicologia está nas ciências sociais onde possui uma multiplicidade de teorias  umas mais criticas outras mais relativistas  porém com critérios de pesquisa sérios e uma construção coletiva,4
a psicologia faz parte das ciências sociais na qual buscam atributos e métodos no mundo para comorovarem suas teorias existem dois campos que chamam a atenção dentro da cirntificidade da psicologia que são psicologia social que ultiliza o método dos recursos qualitativos e a biológica que conta com o quantitativo,5
a psicologia pode ser considerada uma ciência pelo fato de promover estudos ter teorias com aplicabilidade várias frentes de estudo e pesquisas validadas pela sugestão de hipóteses para a formulação da teoria,4
a psicologia pode ser vista em dois grupos  das ciências sociais que se baseiam mais em pesquisas qualitativas e biológica que se baseiam em pesquisas quantificativas vale ressaltar que na psicologia ainda buscase uma maior coerência científica,5
a psicologia assim como outras ciências sociais é uma ciência ainda em busca de abordagens e estudos para seu aprimoramento o que não significa que não seja uma ciência as várias abordagens presentes na psicologia permitem que sejam levados em conta vários paradigmas para a realização de pesquisas científicas,5
ao contrário de muitas disciplinas das ciências naturais a psicologia se caracteriza por ser uma ciência multiparadigmática pois trabalha com vários objetos de estudo assim como seus métodos e epistemologias para compreender o homem,4
cientificidade da psicologia não tem um conceito consensual mas ela é uma ciência com temas abrangentes possui a linha social que usa mais pesquisa qualitativa para explicar e a linha biológica que usa mais a pesquisa quantitativa e experimentos como na analise experimental do comportamento há também pesquisas quantiquali estuda temas complexos,7
está dentro das ciências sociais que possui uma multiplicidade de metodologias estudando a humanidade e fazendo descobertas em conexão com as origens culturais sendo uma construção coletiva que utiliza princípios básicos e procedimentos em relação a pesquisas ,5
na psicologia não existe um único método de fazer de fazer ciência sao feitas tanto qualitativas e também quantitativas  importante é a clareza de estudos e a fidelidade ao paradigma escolhido nas diversas áreas da psicologia,5
pode ser justificada pelo fato de a ciência ter duas linhas sendo elas a linha social quali e a linha biológica quanti,3
psicologia é uma ciência que utiliza a cientificidade nas áreas biológicas com o póspositivismo através de experimentações e na área social com a pesquisa qualitativa e quantitativa a psicologia estuda conceitos abrangentes da vida dos indivíduos,5
teve iniciação com base no positivismo e como todo método científico com o passar do tempo foi crescendo a psicologia faz o uso de pesquisas tanto qualitativas quanto quantitativas para obter um conhecimento mais aprofundado e específico sobre determinado contexto seja ele a respeito de comportamentos ações tanto individuais quanto coletivas usando de conhecimentos acerca de determinada pesquisa gerando assim resultados científicos ,4
a cientificidade da psicologia é posta sob diversas perspectivas após os postulados de kank a psicologia surgiu com uma proposta claramente positivista contudo com o surgimento de demandas subjetivas surgiu a fenomenologia que quebrou todos os postulados kantianos a partir de então foram surgindo várias abordagens com objetos de estudos distintos,3
a psicologia é uma ciência social que busca mudança através de pesquisas em algumas áreas adota também ciências naturais como por exemplo uma área da psicologia o behaviorismo,5
a psicologia procura critério de cientificidade por meio de abordagens múltiplas sendo que a própria possui abordagens que entram em paradigmas diferentes,6
a psicologia não se utiliza de simples proposições acerca da subjetividade tão pouco se atenta apenas a comportamentos observaveis psicologia abrange um conjunto de métodos e crenças provindas de um paradigma relativista em especial póspositivismo e construcionismo social que oferecem a psicologia meios de se estudar o objeto principal o ser humano,7
caracterizase a ciência em naturais e sociais sendo que na psicologia existe abordagens múltiplas e que uma delas é ciência natural e as outras são ciências sociais assim podese confirmar a psicologia como ciência porém as ciências sociais buscam critérios adequados de cientificidade,7
a psicologia pode ser dividida em ciências biológicas e sociais a parte biológica está relacionada com a área experimental onde pode se observar e testar o objeto em questão nos remetendo a pesquisa quantitativa já a parte social ela não é experimental nos lembrando a pesquisa qualitativa mas apesar de tudo o que torna a psicologia ciência é que ambas as áreas estão sempre replicando suas teorias e buscando novas ,7
a cientificidade da psicologia se dá tanto nas ciência biológicasnaturais quanto nas ciências sociais sendo a primeira uma busca mais objetiva para prever e controlar o comportamento humano através de experimentos como é o caso da análise do comportamento por exemplo e a segunda ciências sociais buscando critérios de cientificidade para tentar resolver temas complexos permitindo a participação de abordagens múltiplas,8
psicologia é científica pois utiliza vários métodos em busca de critérios adequados de cientificidade por meio de abordagens múltiplas psicologia tem duas linhas a social e a biológica a primeira geralmente realiza pesquisas qualitativas e a última geralmente utiliza pesquisas quantitativas mas precisase que fique claro que pode haver um estudo social utilizando pesquisa quantitativa e também estudo biológico a partir de pesquisa qualitativa,8
a psicologia tem duas áreas de ciência a biológica que se refere a pesquisas quantitativas e a ciência social que se refere a pesquisas qualitativas o fato da psicologia fazer pesquisa a torna ciência,6
a psicologia possui a parte social que é a parte qualitativa que busca por critérios de cientificidade por meio de abordagens múltiplas e a parte biológica que é a quantitativa e procura em métodos mais específicos sua cientificidade ,6
a psicologia é uma ciência em busca de critérios adequados de cientificidade por abordagens múltiplas,5
apesar da psicologia  estar em busca por critérios de adequados de cientificidade através de abordagens múltiplas ela é tida como científica por causa do desenvolvimento de pesquisas utilizando metodologias que alcançam resultados passíveis de replicação,6
a psicologia é sim uma ciência estando em busca de critérios adequados para a cientificidade através de abordagens múltiplas assim como as ciências sociais assim podemos destacar na psicologia uma linha social que utiliza da pesquisa qualitativa e uma linha social que utiliza da pesquisa quantitativa sendo ambas consideradas ciência utilizando métodos diferentes porém ambos científicos,6
a psicologia pode ser considerada ciência pois em seu âmbito biológico produz pesquisas através de critérios tradicionais que envolvem previsão e controle permitindo assim sua replicabilidade já no âmbito social ela continua em busca de critérios de cientificidade através de abordagens múltiplas ,7
atualmente não há uma definição consensual de ciência apesar de uma visão positivista e elitista da mesma persistir a psicologia é uma ciência social que tem como característica ser multiparadigmática e multimetodológica rompendo com a visão rígida de ciência e pesquisa experimental sendo predominantemente qualitativa com grandes influências do relativismo,7
a cientificidade da psicologia é decorrente da multideterminação do método como forma de validação de uma teoria,5
a cientificidade da psicologia pode ser justificada por fazer uso de duas vertentes biológica e social a biológica fazendo uso do quantitativo e a social usando o qualitativo a psicologia procura formas diferentes de comprovar sua cientificidade de acordo com suas diferentes abordagens,6
as ciências sociais são ciências porém ainda se encontram em busca de métodos adequados de cientificidade assim a cientificidade da psicologia é justificada por essa busca utilizando para isso de diferentes abordagens,6
a cientificidade da psicologia decorre do uso de diversos métodos abordagens múltiplas que auxiliam no desenvolvimento de pesquisas em várias áreas utilizandose diversas técnicas como entrevistas estudados de caso questionários e etc além disso a psicologia possui a linha social que trabalha com a qualitativa e a linha biológica que segue os aspectos das ciências naturais quantitativo dessa forma a psicologia está sempre buscando mudanças através da utilização de abordagens diversas,6
a cientificidade da psicologia é justificada pelo fato de estar sempre buscando e aprimorando conhecimentos em algumas áreas a psicologia esta voltada para a experimentação observação e ligadacom o meio social ela se divide entre ciências sociais e ciências biológicas ,5
por poder realizar a pesquisasna busca de cientificidadeatravés do pluralismo metodológico controle e repetição,4
a cientificidade da psicologia se dá com o póspositivismo na abordagem comportamental e nas demais ela varia dividindo nosso curso em ciências naturaiscomportamental e cog comportamental e ciências humanas demais abordagens a cientificidade vem do controle externo interno bem como da replicação dos comportamentos o uso de vários métodos e paradigmas na psicologia a faz ciência,5
podemos dizer a cientificidade da psicologia e formada de 2 ciências 1 ciência sociais que são as pesquisas  quantitativa que busca a logica matemática e regras observações e temas 2 que e a ciência natural qualitativa pesquisa com poucos sujeitos mais aprofundada e mais ampla aberta todas 2 são ciências de forma diferentes usadas na psicologia,3
a psicologia baseiase em questões biológicas qualitativa e em questões sociais pesquisa quantitativa pautandose nas múltiplas abordagens e teorias,3
a psicologia é ciência pois além de descrever os fenômenos ela explica o porquê deles acontecerem assim como as ciências naturais além disso ela tem como objetivo geral a interpretação ciências sociais mais a explicação ciências naturais a psicologia apresenta pesquisa qualitativa e quantitativa sendo que a quantitativa nasce da qualitativa,6
a cientificidade da psicologia se da pela adoção de paradigmas científicos advindos da queda do paradigma positivista que orientam as pesquisas realizadas desde estão a ciência  adotou posições mais relativistas que são adotadas pelas pesquisas em psicologia,5
a cientificidade da psicologia está na possibilidade de generalização ainda que não seja estatística que pode ser atingida por meio do estabelecimento de critérios metodológicos não fixados de cientificidade por meio de abordagens múltiplas,5
ainda que não haja consenso quanto ao método ou paradigma a psicologia se concretiza como ciência por sua constante busca pela cientificidade por intermédio de abordagens múltiplas,5
a psicologia é ciência pois ela tem objetivos e métodos definidos alem de interpretar e explicar os fenômenos estudados,3
a busca pela cientificidade da psicologia vem sendo construida a muito tempo muitas criticas são feitas pela psicologia não ter um objeto de estudo especifico porém a psicologia tem sim um rigor cientifico e suas diversas teorias ao longo do tempo vem mostrando isso apesar das criticas ainda serem fortes,2
a ciência ainda bisca uma definição consensual de cientificidade no entanto a psicologia com sua pluralidade epistemológica e metodológica é cientifica,3
a cientificidade da psicologia justificase por esta se tratar de uma área com um segmento biológico de influência póspositivista e que emprega procedimentos quantitativos análise do comportamento e um segmento social caracterizado por múltiplas abordagens e ainda buscando definir seus critérios de cientificidade qualitativo,5
a psicologia busca critérios adequados da cientificidade por meio de abordagens múltiplas,3
a psicologia é considerada ciência pois ela tem um lado de estudos sociais que têm como base as ciências sociais com métodos variados e busca por uma cientificidade mesmo que não haja um consenso a psicologia também é considerada como ciência por possuir além do social um lado biológico behaviorismo com metodologias bem específicas lembrando o póspositivismo,7
a psicologia é considerada ciência uma vez que lida com o homem utilizandose de observação registro e instrumentos e teorias já construídas para chegar a uma conclusão além de contribui para com a sociedade,2
a psicologia é considerada científica primeiramente pelo fato de que não existe uma definição consensual de ciência além da mesma possuir diferentes linhas que procuram acurar a sua investigação tais linhas podem ser a social que também abrange a clínica e as biológicas que são mais quantitativas e póspositivistas,6
a psicologia ainda caminha em busca de critérios mais adequados atualmente ela se divide em 2 correntes a ciência natural que é mais tradicional e se baseia na física química e biologia e é mais quantitativa e na ciência social que se adéqua mais a área qualitativa porém é cada vez mais comum os pesquisadores fazerem uso de ambas as técnicas  ,6
ciências lira testavel que busca métodos cientificamente assim utilizando de teorias de autores cujas críticas são para prever  testar e avançar  na prática através de observações cientificamente avaliadas ou testadas ,2
mesmo a psicologia nem sempre se encaixando nos moldes das ciências naturais ela desenvolve alguns parâmetros de rigorosidade para ser reconhecida como ciência como por exemplo ser desenvolvida em uma linguagem que evite ambiguidade ela pode ser generalizada para muitos casos etc,4
é mostrada quando se fala das linhas de estudo da psicologia tanto social quanto biológica cientificidade pode ser caracterizada por esses estudos também por isso que a psicologia pode ser tratada como ciência mas além de estudar a linha social e linha biológica separadamente elas podem ser entendidas também quando se misturam,3
a psicologia é considerada ciência pois contém um discurso científico claro e preciso um objeto de estudo método de investigação técnica e linhas teóricas produzindo assim saber novas técnicas mais investigações científicas  e pesquisas qualitativas e quantitativas,5
a psicologia é uma ciencia pois nela há estudo bases teoricas experimetos isso e um tipo de cinecia,3
formulação de hipóteses pesquisas qualitativas e quantitativas ,0
como o texto afirma a cientificidade na psicologia existe porém ela está sendo construída aos poucos ao longo do tempo podese afirmar portanto que esta cientificidade na psicologia é em grande parte qualitativa em suas pesquisas também podendo ser quantificada quantitativa,5
em termos da psicologia ser cientifíca envolve a falta de uma definição consensual do que é ciência as multiplas realidades acerca de um fenomeno e como o método das ciências sociais e os métodos qualitativos podem obter dados,4
a psicologia usa a pesquisa qualitativa para a cientificidade dos objetos de estudo podendo ser utilizado múltiplos meios para se conseguir isso ,4
a psicologia pode sim ser considerada ciência pois além do fato de que a ciência não possui uma definição específica e não há um consenso sobre a mesma em relação ao seu conceito há também o fato de que a psicologia desenvolve pesquisas trabalhos e contribuições em diversas áreas do saber,4
a psicologia é uma ciência já que a ciência não é consensual entre autores a psicologia além de ter uma linha social e uma linha biológica é vista como uma ciência buscando sempre ser validada,5
a psicologia como ciência é complicada no entanto a mesma busca atraves de métodos qualitativos também quantitativos comprovar suas teorias através de métodos diferentes ,4
a psicologia que está no ramo das ciências sociais tem seu status de ciência apesar de seu método ser diferente de outros tipos de ciência ela ainda assim possui critérios que a definem dessa forma como a pesquisa qualitativa que auxilia nas pesquisas em psicologia,3
a psicologia social por exemplo ainda vive em busca de uma comprovação de um objeto que muitas vezes não é visual por lidar com a subjetividade ou seja em busca de sua cientificidade ,3
a psicologia é ciência pois ela tem um método e embasamento teórico ela cria e comprova teorias utilizando esse embasamento teórico,2
a pesquisa qualitativa é mais específica em certos contextos e populações sua contribuição é esse entendimento mais aprofundando que ela busca podendo gerar novos paradigmas levando em conta que a ciência não é certeza e de que não existe uma única verdade,3
as contribuições da pesquisa qualitativa para a cientificidade de diversas áreas são vastas dentre elas contribui para que as pesquisas possam ser replicado utilizando os mesmos instrumentos de coleta e analise de dados existe uma sistematizado que pode ser utilizada em qualquer contexto pode ser analisada replicada contextualizada contestada e reinterpretada em diferentes contextos e por diferentes atores,4
a pesquisa qualitativa trouxe contribuições para a cientificidade da psicologia pois trouxe uma confiabilidade,1
das contribuições considerase a visão holística a investigação naturalística e a abordagem indutiva ressaltando a relevância da interpretação,4
contribuições para uma pesquisa mais ampla flexível subjetiva para análise das percepções dos comportamentos de determinado grupo comunidade situações que vão além de estruturas rígidas,3
psicologia e ciências sociais são ciência mas estão em busca de uma metodologia o que se da pela multiplicidade de abordagens valido afirmar também que ciência não possuiu consenso ou seja existem diversas formas de se fazer ciência,4
a pesquisa qualitativa é exploratória e exige mais dedicação de tempo contribui principalmente com a linha social da psicologia como ciência pois possibilita a comparação de conhecimentos que talvez não fosse possíveis apenas com o modelo quantitativo,6
a pesquisa qualitativa contribui por ser um método cientifico exploratório subjetivo que pode ser usado em conjunto com outras técnicas avaliando estados emocionais entre outros aspectos,4
alguns critérios de credibilidade levam à cientificidade da psicologia pela pesquisa qualitativa sendo eles o uso da triangulação o contato prolongado com o campo que diminui influências possíveis do pesquisador o questionamento por pares que é a interpretação dos dados com auxílio de colegas pesquisadores e a checagem pelos sujeitos dessas interpretações,7
analise amplamente descritiva rica em detalhes visão holística sem objetivo de controlar e prever resultados mas sim entender e compreender fenômenos,5
como a ciência social busca uma forma de atuação mais adequada e que se desenvolve cada vez mais a pesquisa qualitativa possibilita a verificação de hipóteses e contextos não só contribuindo na descrição mas na prática científica de obter conhecimento,4
as contribuições da pesquisa qualitativa à cientificidade da psicologia está relacionado diretamente à multiplicidade de métodos isto que contribui no sentido de que a psicologia por conter uma parte qualitativa ela também pode ser válida podendo utilizar de métodos do construcionismo social por exemplo,5
a pesquisa qualitativa contribuiu para a cientificidade pois através dela foi possível a ida a campo podendo coletar e observar dados que não são possíveis na pesquisa quantitativa,3
a pesquisa qualitativa contribui para a cientificidade da psicologia e de outras ciências pois traz consigo uma riqueza de informações e a noção muito mais democrática e próxima da realidade do relativismo e das múltiplas verdades a psicologia principalmente precisa compreender o ser humano a fundo e o terapeuta utiliza a si mesmo como ferramenta de cura do paciente,6
as contribuições da pesquisa qualitativa fora que a pesquisa coloca em prática varias teorias da psicologia esta sempre em busca de novas teorias não esta estagnada achando que apenas uma teoria é verdadeira,2
auxilia na clareza dos dados menos tempo de preparo na organização da pesquisa permite o entrevistador a ter mais agilidade na resolução da pesquisa,1
a contribuição da pesquisa qualitativa é fundamental para a psicologa em relação a coleta de dados formato em que segue a pesquisa,1
ainda que dividida entre a psicologia social e a psicologia biológica e ambas sigam caminhos distintos em termos de metodologia epistemologia etc podemos sim falar da psicologia como ciência uma vez que sua produção científica não se dá por meio de senso comum a falta de consenso sobre o que seja ciência não impede o andamento de pesquisas nem a formulação de teorias,7
a psicologia se afirma como ciência ao teorizar fatos das ciências humanas e principalmente não mais importante como psicologia geral experimental vertente de base behaviorista que utiliza de métodos científicos tradicionais quantitativos e experimentais ,4
a  cientificidade da osicologia não se apenas nas abordagens em que a base filosófica é póspositivista ela considera vários paradigmas e adota todos como verdade sem ter uma abordagem certa ou errada científica ou não,1
a psicologia é uma ciência embora não há um consenso está sempre em busca de melhorias e crescimento podese perceber a presença de experimentação pesquisas estudo das ciências sociais da biologia etc ,3
a psicologia utilizase da ciência para abranger seu campo de estudos através da pesquisa qualitativa por exemplo o psicólogo tem todas as técnicas utilizadas a seu favor para fazer um bom trabalho de campo,2
a psicologia é científica mas enquanto pesquisa social ainda busca critérios de cientificidade com base em múltiplas abordagens enquanto pesquisa experimental utiliza métodos baseados nas ciências naturais póspositivistas,9
a ciência ajuda a psicologia comprovar hipóteses para que elas sejam verdadeiras passandose de hipóteses para verdadeira ciência,2
a cientificidade da psicologia se dá por pesquisas qualitativas e quantitativas testes de hipóteses em pesquisas quantitativas postulações científicas entrevistas e pesquisa extensiva qualitativa,5
a cientificidade na psicologia se dá pela escolha da abordagem que possui aspectos rigorosos de interpretação e observação de dados em algumas abordagens esses critérios implicam dados quantitativos e em outras mais interpretativos mas todas possuem sua sistematização e concepção de mundo e homem,5
as ciências psicológicas tem propostas filosóficas de base positivista quanto dialética marxista a psicologia tradicionais se apoia nas pesquisas quantitativas  as dinâmicas  nas qualitativas     ,4
não existe consenso mas podemos dizer sim que a psicologia é ciência e que busca a cientificidade por meio de abordagens múltiplas e que se destacam de 2 formas uma mais social  com base numa pesquisa mais qualitativa e outra mais experimental  com base numa pesquisa mais quantitativa ,8
formulação de hipótese testar as hipóteses postular o resultado analise de dados,2
a linha social pesquisa qualitativa e a linha biológica pesquisa quantitativa a primeira busca cientificidade por meio de abordagens múltiplas a outra reducionista segue critérios tradicionais das ciências naturais póspositivismo,9
"a psicologia é cientifica devido aos seus estudos sociais métodos naturalistas observacionais e a análise dos mesmos
assim como ciência pode ser usada para prever e estudar comportamentos de forma individual e socialmente",5
a cientificidade da psicologia não é consensual contudo a partir dos estudos dos paradigmas foi possível concluir que a psicologia  é uma ciência relativista subjetiva de metodologia quantitativa e qualitativa ,5
"levantou algumas questões pelo fato de se pensar em uma subjetividade e assim provocou a queda do paradigma 
 debates foram levantados pois surgiram dúvidas a respeito da confiança na ciência e no positivismo",1
a psicologia é uma ciência mas está em busca de uma metodologia científica critérios científicos por meio de várias abordagens,5
a psicologia usa das múltiplas abordagens e técnicas onde se tem a linha social caracterizada pelas pesquisas qualitativas e a linha objetiva em que se tem pesquisas qualitativas ,6
faz uso de teorias sociais e biológicas e dependendo da pesquisa usase tanto quali com quanti pois algumas pesquisas faz uso de métodos experimentais e outros são mais subjetivas,2
a psicologia segue a linha social busca de critérios adequados de cientificidade por meio de abordagens multiplas,5
a psicologia é ciência procura critérios de cientificidade diante da multiplicidades de teorias,3
a cientificidade da psicologia se basea se  em pesquisas tanto quantitativas quanto qualitativas uma visão holística de suas analises obvio de acordo com o objetivo da pesquisa dados mais complexos de serem analisados e uma maior ligação do pesquisador com seu trabalho,2
em psicologia tanto a pesquisa quantitativa como a pesquisa qualitativa são científicas a pesquisa qualitativa trabalha com dados abertos subjetivos enquanto a pesquisa quantitativa trabalha com o objetivo estruturado testando teorias e explorando,6
a cientificidade da psicologia está ligada as pesquisas quantitativas pois ela é a pesquisa que vai formar uma teoria e vai confirmarla com dados empíricos,1
a psicologia não era vista como uma ciência pois apenas aquilo que era possível fazer experiencias e chegar a conclusões era considerado ciência só apos se unir com as áreas sociais a psicologia passou a ter mais influencia e se considerada a ciência do,3
a psicologia é uma ciência social que busca critérios adequados através de abordagens múltiplas com uso de pesquisa qualitativas provar a sua cientificidade,3
